text,service,metric,objective,remedy,claim,exception,definition,obligation,right,neither
"Last Updated: May 25, 2022 This Amazon Compute Service Level Agreement (this “SLA”) is a policy governing the use of Amazon Elastic Compute Cloud (“Amazon EC2”)* and applies separately to each account using Amazon EC2.",1,1,0,0,0,0,0,0,0,1
"In the event of a conflict between the terms of this SLA and the terms of the AWS Customer Agreement or other agreement with us governing your use of our Services (the “Agreement”), the terms and conditions of this SLA apply, but only to the extent of such conflict.",1,0,0,0,0,0,1,0,0,1
"Capitalized terms used herein but not defined herein shall have the meanings set forth in the Agreement.",1,0,0,0,0,0,0,0,0,1
"*For purposes of this SLA, Amazon EC2 includes any Amazon Elastic Graphics, Amazon Elastic Inference, and Elastic IP Address resources purchased with the relevant Amazon EC2 instance(s).",1,1,0,0,0,0,0,0,0,1
"SLAs AWS makes two SLA commitments for Amazon EC2: (1) a Region-Level SLA that governs Amazon EC2 deployed across multiple AZs or regions, and (2) an Instance-Level SLA that governs Amazon EC2 instances individually.",1,1,0,0,0,0,0,0,0,1
"Region-Level SLA For Amazon EC2 with all running instances deployed concurrently across two or more AZs in the same region (or at least two regions if there is only one AZ in a given region)",1,1,0,0,0,0,0,0,1,0
"AWS will use commercially reasonable efforts to make Amazon EC2 available for each AWS region with a Monthly Uptime Percentage of at least 99.99%, in each case during any monthly billing cycle (the “Region-Level SLA”).",1,1,1,1,0,0,0,1,0,0
"In the event Amazon EC2 does not meet the Region-Level SLA, you will be eligible to receive a Service Credit as described below.",0,1,0,0,1,0,0,0,1,0
"Monthly Uptime Percentage Service Credit Percentage Less than 99.99% but equal to or greater than 99.0% 10% Less than 99.0% but equal to or greater than 95.0%30% Less than 95.0% 100%",0,0,1,1,1,0,0,0,1,0
"Instance-Level SLA For each individual Amazon EC2 instance (“Single EC2 Instance”), AWS will use commercially reasonable efforts to make the Single EC2 Instance available with an Instance-Level Uptime Percentage of at least 99.5%, in each case during any monthly billing cycle (the “Instance-Level SLA”).",1,1,1,1,0,0,0,1,0,0
"In the event any Single EC2 Instance does not meet the Instance-Level SLA, you will be eligible to receive a Service Credit as described below.",0,0,0,0,1,0,0,0,1,0
"Instance-Level Uptime Percentage	Service Credit Percentage Less than 99.5% but equal to or greater than 99.0% 10% Less than 99.0% but equal to or greater than 95.0%	30% Less than 95.0%	100%",0,0,1,1,1,0,0,0,1,0
"Note: In addition to the Instance-Level SLA, AWS will not charge you for any Single EC2 Instance that is Unavailable for more than six minutes of a clockhour.",0,0,0,0,1,0,1,0,0,1
"This applies automatically and you do not need to request credit for any such hour with more than six minutes of Unavailability.",0,0,0,0,1,1,0,1,0,0
"SLA Credits Service Credits are calculated as a percentage of the monthly bill (excluding one-time payments such as upfront payments made for Reserved Instances) for Amazon EC2 in the affected AWS region that did not meet the Region-Level SLA, or for the Single EC2 Instance in the AWS region that did not meet the Instance-Level SLA, respectively.",1,0,0,0,1,0,0,0,0,1
"We will apply any Service Credits only against future payments for Amazon EC2 otherwise due from you.",0,0,0,0,1,0,0,0,0,1
"At our discretion, we may issue the Service Credit to the credit card you used to pay for the billing cycle in which the Unavailability occurred.",0,0,0,0,1,0,0,0,0,1
